paper_id,title,annotators,feedback_set-GPT-5_2,feedback_set-Qwen3-8b,feedback_set-qwen3-8b-dpo
15_Measuring_Reasoning_Trace_L - Daphne Ippolito,Measuring Reasoning Trace Legibility: Can Those Who Understand Teach?,Daphne Ippolito,"1. The SOTU metric is defined differently in the main text (entropy of first correct prefix) and Appendix A.4 (linear regression MSE of scores vs prefix length), which are fundamentally different quantities.
2. The paper uses the term 'legibility' to cover multiple related but distinct concepts: readability/cognitive load, verifiability/auditability, and pedagogical usefulness for weaker models, but these are not equivalent and some metrics do not clearly map onto all three.
3. The paper interprets high entropy in the first correct step (SOTU) as uniform information density, but high entropy can also indicate randomness or noise in when the student succeeds.
4. The regression count (RC) metric is defined differently in the main text and appendix, with differences in thresholding and sampling of points.
5. Some claims should be reframed to be more precise and avoid overgeneralization, such as specifying that reward models tested show little correlation with Legi-Val metrics after conditioning on correctness, and clarifying that legibility rankings are audience-dependent.","1. The discussion section could be more actionable by providing concrete guidance on implementing suggestions such as multi-objective reward modeling.
2. Including more diagrams or flowcharts to illustrate the transfer utility process, such as how student models are prompted and how their accuracy is measured across different prefixes of the teacher's trace, would improve clarity.
3. The methodology section's technical details, especially regarding the computation of first-order and second-order transfer utility metrics, are somewhat unclear and could be explained more precisely.
4. Clarify the novelty of Legi-Val compared to existing work, especially regarding the combination of content and transfer-based metrics.
5. Expand the discussion on the implications of the findings, focusing on practical applications and directions for future research.","1. Clarify the meaning of 'Correct Only' in Figures 5 and 6, especially in relation to Tables 1 and 2. Specify exactly how the Spearman’s rank correlation was calculated, including the exact formula used, as it appears different from a simple Pearson correlation. Improve the caption for Figure 7 to clearly explain that bolding and underlining indicate the top 2 in rank order.
2. Specify the lengths of the student model traces and whether they are similar to those of the teacher models. If they differ, explain how truncation was handled. Provide results if truncation lengths were varied, as these factors may affect the results.
3. Define the term 'rollout' in the context of 'Rollout Strategies' (Section A.4.3), clarifying whether it is equivalent to 'prefix'. Explain why a regression fit is performed to obtain the second-order transfer utility as shown in Equation 7.
4. Explain the results related to Figure 4 in detail, including the meaning of the y-axis, the calculation and interpretation of average accuracy, and the method for obtaining the Pareto frontier. Clarify why the accuracy-transfer curve forms a convex shape and provide intuition behind this observation. Add the 'Ulm' model to Figure 4 to show its position despite low accuracy. Provide visualizations of the other two axes of the Pareto frontier, such as efficiency vs. backtracking and efficiency vs. transfer, as 2D scatter plots. Explain how 'regression rate' fits into the Pareto frontier. Include these explanations in the main text or appendix if space is limited.
5. Correct multiple typos and capitalization errors throughout the paper, including specific instances on pages 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 15, and 16. Clarify unclear terms such as 'total transfer utility' and 'rankwise stability'. Use '\citep' instead of '\cite' for parenthetical citations, and improve figure references for readability."
2025.acl-long.659 (1) - Jieun Han,DREsS: Dataset for Rubric-based Essay Scoring on EFL Writing,Jieun Han,"1. The paper should explain how the 1–5 score scale with 0.5 increments was used by raters, including whether explicit guidance was given for half points, and whether models enforce discrete outputs.
2. The paper should discuss domain shift issues arising from mixing populations and genres in the standardized datasets and justify why standardization helps despite these differences.
3. The corruption-to-score formula in Equation (1), which assumes a linear relationship between target score and number of corrupted sentences, requires empirical justification.
4. The paper should specify input formatting details such as whether prompt and essay are concatenated, use of separators, maximum token length, and truncation strategy, as these affect AES performance.
5. LLM experiments should control prompting and decoding more carefully, including repeated runs or explicit stochasticity settings to support scoring variance claims.","1. The abstract is somewhat lengthy and should be more concise, clearly summarizing the problem addressed, the proposed solution, and the key findings.
2. The ablation study on CASE would benefit from visualization, such as graphs showing performance across different augmentation levels, to enhance clarity.
3. The related work section should better contextualize the proposed dataset within AES research, highlighting its novelty and potential impact.
4. The ethics statement should be expanded to include more details on data anonymization and privacy protection measures for participants.
5. The conclusion should provide a concise summary of the main contributions and their implications for AES research.","1. Consider comparing CASE with other generative methods for synthetic data generation, including varying the number of synthetic samples, to provide insights into scalability and effectiveness. Also, provide more details about the prompts used for synthetic data generation, including any guidelines or personas used to guide the LLM in generating realistic EFL essays, and explain how the generated essays reflect common mistakes and styles of EFL learners. Additionally, share thoughts on optimizing the prompting strategy and, if possible, provide sample prompts and essays generated by GPT-4o to illustrate challenges faced.
2. Explain how the optimal number of CASE operations for each rubric was determined, including whether multiple trials were conducted and what factors influenced the final choices, to provide more insight into the ablation study.
3. Clarify the discrepancy between the number of prompts mentioned in Figure 1 (22) and Table 1 (21), and specify which prompts belong to each dataset (DREsSNew, DREsSStd, or DREsSCASE).
4. Clarify the meaning of 'randomly sampled sentences,' 'swapped two randomly sampled sentences,' and 'substituted randomly sampled sentences' in the 'Corruption-based Augmentation Strategy,' specifically whether 'randomly sampled sentences' refers to selecting a specific number of sentences randomly or randomly swapping the position of two sentences.
5. Provide a detailed description of the weighting scheme used when creating synthetic labels, including the rationale behind the weights assigned to different rubrics, to help readers understand the standardization process."
2406.07867v2 - Chae Won Kim,"Let's Go Real Talk:
Spoken Dialogue Model for Face-to-Face Conversation",Chae Won Kim,"1. The manuscript contains terminology errors and typos such as ""face-toface"" instead of ""face-to-face"", ""three folds"" instead of ""threefold"", and ""Datailed"" instead of ""Detailed"". Naming inconsistencies like ""SpokenWOZ"" vs ""Spoken-WOZ"" and citation year mismatches for TopicalChat should be fixed for clarity and professionalism.
2. A reproducibility appendix should be provided including preprocessing and tokenization scripts, train/valid/test IDs, hyperparameters, and model checkpoints.
3. The paper makes multiple ""first"" claims that should be softened or precisely scoped to avoid overclaiming, such as specifying ""first large-scale scripted AV spoken dialogue corpus aligned to an open-domain dialogue dataset"" and ""first direct AV-in/AV-out dialogue model evaluated at this scale."" A short paragraph contrasting with related areas like talking-head generation, MM-LLMs, and audio-only spoken LMs should be included to clarify positioning.
4. The paper should discuss compute and latency aspects supporting the ""real-time"" claim by providing an inference speed breakdown for tokenization (AV-HuBERT), LM decoding, length predictor, vocoder, face generation, and enhancer, and state whether the demo is streaming or turn-based and the hardware used.
5. The dataset includes only six speaker pairs, and it is unclear whether train/test splits are dialogue-disjoint and speaker-disjoint. If splits are not speaker-disjoint, this may cause models to overfit to speaker identity or style. The paper should report whether splits are dialogue-disjoint and speaker-disjoint, and if not speaker-disjoint, add an evaluation split that is speaker-disjoint or discuss generalization limitations.","1. Some references are not properly cited or formatted; for example, the citation for 'SpeechGPT' (Zhang et al., 2023a) is incorrectly formatted. References should be consistently formatted according to APA or IEEE style.
2. The limitations section is brief and should be elaborated to discuss challenges in creating the dataset and model, as well as potential future work to address these challenges.
3. The evaluation metrics should be explained more thoroughly, including how they are calculated and why they are relevant to the task.
4. Some subsections, such as '3.3 Post-Processing', could be better organized to improve readability.
5. Equations and diagrams should be numbered and referenced consistently to avoid confusion.","1. The authors should define 'distinct utterance' and provide the distribution of utterance lengths, including this information either in the main text or in the appendix.
2. The authors should include ablation studies on the inference speed of the model, providing approximate measurements or comparisons with baseline or cascaded models to help readers assess the practical feasibility of the model.
3. The authors should clarify the meaning of 'pure AV speech token dialogue,' specifically whether it refers to using only the speech token part in the prompt without text, and explain why the model can generate speech without text in the prompt. Additionally, examples of prompts containing both speech token and text, as well as prompts with just speech token, should be provided.
4. Correct the typo in line 124 by replacing 'setction' with 'section'.
5. Provide a detailed description of the hyperparameters used in training the cascade system, including the fine-tuning procedures for each component (AVSR, LM, TTS, TFG), to facilitate replication of the experiments."
2731_Social_Story_Frames_Conte - Joel Mire,"Social Story Frames:
Contextual Reasoning about Narrative Intent and Reception",Joel Mire,"1. Enhance inference generation evaluation by adding metrics beyond plausibility, such as specificity, faithfulness to context (especially community norms), and diversity across multiple inferences per story-dimension pair.
2. Tune the ssf-sim fusion weight λ on the human similarity set and report per-component correlations to improve the similarity metric.
3. Expand and tighten human validation of ssf-sim by increasing the number of annotators or pairs, clarifying instructions on whether similarity refers to intent/reception versus event structure, and reporting effect size and significance of results.
4. Discuss the selection bias introduced by StorySeeker threshold and toxicity/sexual content filtering by quantifying how many items were removed at each filtering stage, whether removals are concentrated in certain subreddits or topics, and how this affects generalization claims.
5. Add a 'none/unclear' option per dimension and measure its prevalence as a quick, high-impact improvement.","1. The paper is dense with technical content and text, which can be overwhelming for readers, and the structure could be improved to enhance readability.
2. The limitations section is brief and would benefit from a more detailed analysis of model shortcomings and challenges in applying the formalism to different contexts.
3. The evaluation metrics are reported but lack detailed discussion on their significance and comparison to existing benchmarks.
4. The ethical considerations section is brief and does not fully explore potential risks related to user-generated content and modeling reader responses.
5. The paper contains grammatical errors and awkward phrasing that affect readability.","1. Correct grammatical errors throughout the paper, including missing commas after 'Introducing SOCIALSTORYFRAMES' and 'Figure 1,' and typos such as 'evokes many forms of reader response. We introduce' on page 2. Also, verify the references to Appendix D and Figure 4, as Appendix D appears missing and Figure 4 cannot be located in Section 6.
2. Clarify in the introduction the distinction between 'extra-textual responses' and 'interpersonal interactions,' and elaborate on why focusing solely on extra-textual responses is valuable, especially compared to existing works such as Antoinak et al. (ACL 2024).
3. Provide a detailed explanation of how the 'community context' is determined in the model, including whether specific keywords in the subreddits’ descriptions are used.
4. Provide a breakdown of the 6,140 stories in terms of sentiment distribution, including whether there is any imbalance such as a majority being negative or positive, to give a clearer picture of the dataset’s scope."
8_BenchBrowser_Retrieving_Evid - Daphne Ippolito,BenchBrowser: Retrieving Evidence for Evaluating Benchmark Validity,Daphne Ippolito,"1. Clarify the definition of precision metrics given 3-point labels by standardizing two metrics: strict precision (Relevant only) and lenient precision (Relevant + Partially Relevant), and interpret validity arguments using the strict metric.
2. Unify the naming and hyphenation of the system name, choosing either “BENCHBROWSER” or “BENCH-BROWSER” and using it consistently throughout text, figures, and appendix.
3. Differentiate the proposed system more sharply from adjacent systems by explicitly contrasting it with benchmark repositories, synthetic test generation, and declarative benchmark construction.
4. Mitigate low inter-annotator agreement by providing annotators with benchmark source/task descriptions, collecting short rationales to refine guidelines, and reporting agreement on binary collapsed labels.
5. Clarify how retrieved items are scored in convergent validity analysis, especially when retrieved items come from different benchmark families, to avoid metric incompatibility driving ranking divergence.","1. The introduction's problem statement should more clearly articulate the distinction between content and convergent validity.
2. The paper should include a comparison of the anchor generation methods' effectiveness in terms of precision and recall.
3. The introduction should include a more thorough review of literature on benchmark validity and retrieval methods to strengthen the context.
4. The paper should briefly explain why the chosen baseline methods were selected and how they compare to other common baselines in the field.
5. The paper should provide a more detailed explanation of how the BAAI/bge-en-icl model was fine-tuned and the rationale for choosing it over other models.","1. Correct typos in the main text such as 'Whereas LLM' (Line 85), 'preliminary studies' (Line 253), and 'more stable, well-contextualized' (Line 567). Clarify the reference to 'Details in Appendix I.1.' (Line 322) since Appendix I.1 is titled 'Error analysis.' Also, remove the duplicate word 'respectively' in Line 729.
2. Consider including results using other models besides GPT-5 Mini as judges, such as Gemini Flash Lite and GPT-4 Turbo, either in the main text or limitations section, with more details in the appendix to provide a broader evaluation.
3. Clarify the title of Figure 3 'Rank Stability' since there is a noticeable dip indicating increased rank divergence, which seems contrary to stability. Correct typos such as 'has mean' to 'has a mean' in the caption and clarify confusing statements like 'therefore, this result could be useful' in the main text.
4. Analyze the root causes of low content validity beyond the current analysis of facet precisions in Section 5.1. Investigate whether underrepresentation of certain facets in benchmarks is due to topic rarity, difficulty in generating relevant examples, or human biases. Consider conducting an analysis similar to Figure 1 in https://arxiv.org/pdf/2304.15475.pdf.
5. Provide more details on the 210 requests used to measure end-to-end latency, including whether these requests were made with k=20 and evenly distributed across all 10 use-cases in the novel set. Clarify if the median latency of 4.5 seconds being close to 5 seconds was intentional. Additionally, discuss how latency varies with k, especially for values larger than 20, or estimate this if data is unavailable, to help practitioners understand computational requirements."
9565_OLA_Output_Language_Align - ­Juhyun Oh,OLA: Output Language Alignment in Code-Switched LLM Interactions,Juhyun Oh,"1. The definition of 'intrusion' needs tighter operationalization, including specifying how scripts are detected (e.g., Unicode blocks) versus language identification, separating legitimate foreign words from true intrusions, and quantifying average intrusion length and location.
2. For cross-lingual extensions (ZH/ID), limited human validation is acknowledged; a small native-speaker audit (e.g., 50 prompts per language pair) should be conducted to verify plausibility of code-switching and correctness of expected output language assumptions.
3. Measure side effects of CS-DPO by reporting changes in third-language intrusion rate, mid-response switching frequency, and task quality (helpfulness) on a small general benchmark or held-out tasks.
4. Annotator profiles should be reported, including self-rated proficiency in the embedded language, code-switching frequency, and differences in expectations between EN-native and KO-native annotators, to understand demographic effects on implicit expectations.
5. Analyze the mixed results in the Complex setting where CS-DPO hurts EN Inst–KO Content performance, investigating whether over-regularization to 'matrix language' versus 'content language' occurs and consider motivating a more general policy model that predicts expected language first then conditions generation.","1. The introduction should have a clearer structure guiding the reader through the problem, related work, and proposed solution, with a clearer definition of code-switching and its relevance.
2. The Background and Related Work section should be better structured by grouping related work by themes and clarifying distinctions such as between language confusion and output language misalignment.
3. The Experimental Setup section should provide more context on the evaluated models, their training data, and performance on other benchmarks, and include a clearer structure with tables summarizing results and comparisons to other metrics.
4. The Results and Analysis section should provide a deeper analysis of findings, especially regarding real-world implications, with expanded discussion and examples on asymmetric bias and clearer connection of Chain-of-Thought reasoning to broader findings.
5. Some sections are dense and could be simplified for better readability; adding more visual aids like figures or tables would help illustrate key points and results; more details on data collection and model training should be included to ensure reproducibility; and the ethical considerations section should be expanded to discuss potential impacts on multilingual users.","1. Correct multiple typos and formatting issues throughout the paper, including specific word errors, figure and table font sizes, figure captions, and figure placements. Also, ensure proper citation formatting with author names and include missing figures in the main paper where relevant.
2. Clarify the difference between the 'Wrong Start' metric and 'Sentence-Level Language Identification'. Explain whether the model sometimes starts in the wrong language but corrects itself later, as suggested by the low 'Wrong Start' rate in Table 3. Also, discuss whether the higher 'Wrong Start' rate in Simple settings with English as the matrix language indicates a bias towards English, and provide observations supporting this.
3. Provide insights and explanations for the results in Table 2, including trends in the 'Zero-Shot' column, reasons for Gemini 3's drastic improvement from 21.7% to 96.5%, and the drop in OLMo 3.1 (SFT+DPO) from 34.11% to 29.61% in the Simple setting. Also, report results for OLMo 3.1 Instruct without SFT, and with SFT+RLVR, including 4-shot results. Consider adding demonstrations similar to test cases to improve performance, and include results for other models like QWEN 2.5 Instruct to understand inconsistencies related to model differences or prompt lengths.
4. Clarify why the task difficulty is lower in the Complex setting compared to the Simple setting as shown in Figure 2a, possibly due to the need to infer the correct language in the Complex setting. Also, provide information on how task difficulty varies for other language pairs.
5. Provide quantitative results on the 'Third-Language Intrusion' phenomenon, including a breakdown by the third language involved, with a hypothesis that Chinese is more likely to be intruded. Also, provide a breakdown of the percentage of third-language intrusions in the Simple setting by model variant, comparing OLMo-SFT+DPO, OLMo-SFT, and OLMo-BASE."
9784_RECAP_Reproducing_Copyrig - Andre Vicente Duarte,"RECAP: REPRODUCING COPYRIGHTED DATA FROM
LLMS TRAINING WITH AN AGENTIC PIPELINE",André Duarte,"1. Consider redacting or modifying the jailbreak prompts in the appendix to avoid releasing reusable exploit patterns, or justify their inclusion and possibly publish safer variants.
2. Clarify evaluation methods to avoid artifacts from segmentation and chunking, including how overlapping matches are handled and alignment to gold passage boundaries.
3. The method description should include formal algorithmic pseudocode and exact stopping criteria in the main paper, specifying inputs/outputs, maximum iterations, early stopping rules with parameters, and details on ROUGE computation.
4. The ethical section should be expanded and hardened by adding clear restrictions in released code, discussing dual-use concerns and justification for release, and planning coordinated disclosure with affected model providers.
5. The amount of information injected by summaries and feedback should be quantitatively measured using proxies such as ROUGE or n-gram overlap, compression metrics, and extraction performance with varying hint granularity.","1. Emphasize the broader impact of the research beyond technical contributions, including effects on NLP, AI ethics, and regulatory compliance.
2. Add more visual aids such as tables, diagrams, and charts to better illustrate complex concepts and results.
3. Some sentences in the introduction are overly long and dense, which affects readability and flow.
4. Enhance the RECAP pipeline figure (Figure 2) with more detailed annotations or labels to improve clarity for readers unfamiliar with the methodology.
5. Expand the ethical and legal implications section to include more detailed discussions on societal impacts and regulatory considerations.","1. Correct the typos and grammatical errors throughout the paper to improve clarity and readability. For example, fix the phrase 'we have the best results in every model' on page 5 and 'by assigning a memorization score' on page 6.
2. Provide more details about the jailbreaking prompt, specifically the 'narrative tool injection' method. Explain the rationale for choosing Gemini 2.5 Flash as the jailbreaker model. Include examples of refusal responses and jailbroken responses for non-EchoTrace books. Discuss the advantages of using a jailbreaker model versus using the same model for extraction and jailbreaking.
3. Discuss the implications of RECAP’s results, especially regarding privacy and security of LLM training data. Explore ethical considerations of using RECAP for legal investigations as mentioned in the Limitations section. Discuss potential future directions for improving RECAP’s efficiency and expanding its scope to handle diverse training data formats, such as multi-modal datasets. Include a dedicated 'Limitations and Future Work' section. Cite relevant laws, such as the EU Copyright Directive, to provide context for legal and ethical discussions.
4. Clarify the definition of 'non-training data' in the context of EchoTrace, especially with respect to non-English books. Provide details on how the cut-off year for categorizing books as non-training data was determined, including why 2025 was chosen. Include exact years of training data cut-offs for each model family such as GPT-4.1. Add a table with publication dates and training cutoffs in the main text. Specify the exact years for the non-training data books in Appendix C.1. Also, mention the exact years of publication for the top 30 most popular books."
ACL_26_Empathy_Manipulation_Detection - Jocelyn Shen,"The Hidden Puppet Master: A Theoretical and Real-World Account of
Emotional Manipulation in LLMs",Jocelyn Shen,"1. Clarify the six experimental conditions precisely in the text, not only in Figure 3, ideally with a compact table showing the factors Incentive (none/prosocial/harmful), Personalization (yes/no), and manipulative intent presence, to reduce confusion especially regarding prosocial conditions counted as manipulative.
2. Add manipulation checks such as perceived personalization and perceived manipulation as primary validity evidence, provide a clear condition table with prompts used to implement incentives, add robustness analyses using mixed-effects regression controlling for topic, baseline belief, and conversation length, clarify prediction target inconsistencies, and show pre-belief distributions to support the ceiling-effect explanation.
3. Explain why prosocial incentives produced near-zero or negative aligned belief shifts by supporting the ceiling effect hypothesis with data such as pre-belief distributions by incentive type, whether prosocial conditions had higher starting beliefs, and analyzing belief shift as a function of distance to ceiling or floor.
4. Strengthen the conclusion by avoiding overclaiming, especially regarding the statement that uninstructed AI agents elicit a small but detectable positive belief drift, given mixed results and non-significant tests.
5. Address potential leakage and ensure fair evaluation in the prediction benchmark by testing models not involved in dialogue generation, generating dialogues with one model and predicting with another, or adding adversarial checks such as shuffling transcripts across participants.","1. The paper should more explicitly discuss the limitations of the study, including potential participant bias, use of a single dataset, and generalizability of the findings.
2. The PUPPET framework section should include more detailed, concrete examples of each manipulation tactic and how they might manifest in real-world scenarios.
3. The methodology section should be more detailed, particularly regarding how queries were generated, how hidden incentives were implemented, and how belief shifts were measured.
4. The conclusion should more explicitly call for action, such as developing ethical guidelines for AI systems and implementing safeguards to prevent manipulation.
5. The model prediction section should more clearly define the evaluation metrics used (e.g., Pearson r, Spearman ρ, RMSE, MAE) and explain how they relate to the research questions.","1. Consider conducting a follow-up study to analyze the reasons behind belief shifts, especially for harmful incentives, by asking participants about influential parts of the conversation or using eye-tracking to identify focus areas; such insights could enhance the discussion section.
2. The description of belief statements related to queries is unclear, specifically whether there are two belief statements per query corresponding to harmful and prosocial versions, and examples from the appendix or main text are missing.
3. Clarify whether there are plans for future studies analyzing belief shifts and share the authors' perspective on this topic.
4. The paper lacks clarity regarding the exact definition of 'belief shift' and how belief was measured, including whether the measurement was forced-choice or continuous, and the exact questions and statements used in the measurement.
5. The visualization of RQ4 results (Fig 8) is difficult to interpret due to an unlabeled x-axis and lack of indication of the 95% confidence interval; also, the implications of observed biases in GPT-4o, Gemini, and Llama predictions are not discussed or incorporated into the visualization."
Bridging_the_Gap_Between_Audio_and_Text_Using_Parallel-Attention_for_User-Defined_Keyword_Spotting - 김유겸,Bridging the Gap Between Audio and Text Using Parallel-Attention for User-Defined Keyword Spotting,김유겸,"1. Remove the artifact “{\color{red} -}” from the index terms line in the manuscript.
2. Add ablation studies to isolate sources of gains, including: parallel attention without the dual-path encoder or with a simpler audio encoder; PDA loss with and without freezing the conformer; using only one cross-attention direction versus two (make variants explicit and named); and replacing G2P embeddings with learned phoneme embeddings to assess dependence on the external G2P model.
3. Clarify the normalization direction in Eq. (9) for the affinity matrix, explicitly stating that the attention weight \(A_{ij}\) is from text position \(j\) to audio frame \(i\), confirm the shape of the affinity matrix, and address the potential ambiguity or bug due to transposed dimensions relative to standard attention implementations.
4. Add computational and latency metrics such as multiply-accumulate operations (MACs/FLOPs), real-time factor or inference latency, and memory footprint, since keyword spotting is often deployed on-device and readers will be interested in these aspects.
5. Avoid selecting model checkpoints based on the lowest EER on the test sets, as this risks test-set tuning and invalidates the evaluation. Instead, use a validation set from the training split for model selection, select by validation EER/AUC, and report final results only on the held-out test set.","1. Clearly state the motivation, novelty, and contribution of the work in the introduction, highlighting how the approach improves upon existing methods.
2. Rephrase overly technical or jargon-heavy phrases to make the paper more accessible to a broader audience.
3. Include comparisons with recent state-of-the-art methods from 2023–2024 that are not currently cited or referenced in the paper.
4. The abstract should be expanded to include more detailed statements of the paper's contributions and clearly state the novelty of the work, such as parallel attention, phoneme duration alignment loss, and performance improvements.
5. Simplify the language where possible, avoid repetition, and ensure that the paper flows logically from one section to the next.","1. The paper does not explain how the weight parameter λ = 0.3 in Equation (12) was determined; this choice needs to be justified or discussed.
2. There is a typo in Line 149 where '1-dimension' is used to describe Figure 1; it should be corrected to '1-dimensional' to avoid confusion with '1-D convolutions' mentioned in the figure.
3. The paper should include more implementation details such as the number of GPUs used, total GPU hours required, and inference latency to help readers assess the practicality of the solution and discuss any trade-offs.
4. The authors should clarify their plans for releasing the code to support reproducibility. If immediate public release is not possible, consider sharing the code after the conference or via a private GitHub link, referencing similar repositories.
5. The Introduction should include additional related works on few-shot keyword spotting (F-KWS), including references [1-4] discussed in the conclusion, [5-7] mentioned in the introduction, and recent 2023 works [8,9]. The paper should clarify the difference between 'few-shot' and 'zero-shot' early on and explicitly mention if future work will focus on F-KWS."
Do_Not_Mimic_ICLR2025 - Jinju Kim,"DO NOT MIMIC MY VOICE: TEACHER-GUIDED UN-
LEARNING FOR ZERO-SHOT TEXT-TO-SPEECH",Jinju Kim,"1. Additional ablation studies are needed to better understand the effects of teacher generation settings, randomness sources, loss mixing parameters, and the number of forget speakers on the forgetting and retaining trade-offs.
2. The description of the TGU method should be clarified by precisely specifying the conditioning inputs to the teacher model, including mask sampling, context inputs, duration handling, and whether classifier-free guidance (CFG) is used, and by empirically verifying the randomness of teacher outputs with speaker embedding distributions.
3. Writing and presentation should be improved by using consistent terminology (prefer 'retain' over 'remain'), fixing minor typos, correcting table formatting, clarifying figure labels especially regarding masking and randomness, and clearly interpreting key equations such as the target ignoring prompt audio.
4. The interpretation of spk-ZRF values is unclear because a high similarity to the teacher’s random speaker distribution may indicate the model ignores the prompt speaker rather than ensuring privacy.
5. The statistical analysis lacks confidence intervals and effect sizes for spk-ZRF and SIM metrics, limiting the rigor and interpretability of the reported results.","1. Expand the discussion section to include broader implications of the work, such as real-world applications and influence on future research.
2. Suggest potential future research directions such as extending the unlearning framework to other speech-related tasks or exploring unlearning in collaborative or multi-party settings.
3. The paper should discuss the choice and tuning of hyperparameters such as the λ value in the loss function, including any sensitivity analysis or justification.
4. Ensure all references are properly cited and formatted consistently throughout the paper.
5. The introduction is quite long and dense, which affects readability and flow.","1. Please clarify how the 10 speakers for the forget set were selected, specifying whether they were chosen randomly or based on specific criteria. Additionally, provide the statistics of these 10 speakers, including age, gender, and accent.
2. Add a section discussing the limitations of the work, such as the challenge of unlearning more than 10 speakers, and provide ideas on how to address these limitations. Discuss the impact of the lambda parameter in Equation (9) on performance, including sensitivity analysis with different lambda values. Also, analyze the correlation between training steps and performance, specifying if increasing training steps beyond 145K improves results. Include the number of training steps used for the baselines in the main text. Correct the typo in Line 581: 'more general task of ZS-TTS.'
3. Provide more explanations about the equations in Section 3.1, specifically Equations (1)-(3), including the motivation behind them and why the training equation is written as the expectation of t, q(x_1), p_t(x|x_1).
4. Include experimental results on a larger forget set, ideally with 100 or more speakers, to assess the scalability and robustness of the method. Also, explain why the exact unlearning method failed to converge.
5. Provide detailed information about the baseline methods, including: (1) configurations of the pre-training models, (2) whether the number of training steps is the same as TGU, (3) explanation of 'unbounded reverted loss' mentioned in Lines 355-356, (4) inference configurations, (5) clarification of 'weak positive correlation with statistical significance' in lines 993-994 referring to Figure 6, (6) justification for choosing 0.4 as the threshold for remain speakers in Figure 6, and (7) explanation of what 'not very similar' corresponds to in terms of the SMOS score in Figure 6's caption."
